"Statistiche Fantacalcio 2019-20 ",,,,,,,,,,,,,,,,
Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
4,P,SPORTIELLO,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
11,D,CONTI,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
15,D,MASIELLO,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
22,C,"DE ROON",Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
26,C,GOMEZ,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
41,P,MIRANTE,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
58,C,DIAWARA,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
140,D,HYSAJ,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
142,D,"MARIO RUI",Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
148,C,KRUNIC,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
152,C,ZIELINSKI,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
160,P,TATARUSANU,"Olympique Lione",0,0,0,0,0,0,0,0,0,0,0,0,0
177,A,ILICIC,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
181,C,VECINO,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
184,C,BERNARDESCHI,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
186,A,REBIC,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
226,D,IZZO,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
237,C,PEROTTI,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
238,C,RINCON,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
250,P,HANDANOVIC,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
252,D,BIRAGHI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
253,D,D'AMBROSIO,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
265,C,BROZOVIC,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
270,C,KONDOGBIA,Valencia,0,0,0,0,0,0,0,0,0,0,0,0,0
271,C,KOVACIC,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
274,C,SHAQIRI,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
277,A,ICARDI,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
282,P,BUFFON,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
283,P,NETO,Barcellona,0,0,0,0,0,0,0,0,0,0,0,0,0
286,D,BONUCCI,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
288,D,CHIELLINI,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
294,D,RUGANI,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
295,D,ASAMOAH,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
299,C,KHEDIRA,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
302,C,PEREYRA,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0
303,C,POGBA,"Manchester United",0,0,0,0,0,0,0,0,0,0,0,0,0
307,C,COMAN,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
309,A,DYBALA,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
311,A,LLORENTE,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
312,A,MANDZUKIC,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
313,A,MORATA,"Atletico Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
322,D,"DE VRIJ",Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
329,D,RADU,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
331,C,BIGLIA,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
332,C,CANDREVA,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
333,C,CATALDI,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
335,C,"FELIPE ANDERSON","West Ham",0,0,0,0,0,0,0,0,0,0,0,0,0
338,C,LULIC,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
342,C,PAROLO,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
350,P,"DONNARUMMA G.",Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
357,D,CALABRIA,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
358,D,"DE SCIGLIO",Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
367,C,BONAVENTURA,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
375,C,SUSO,Siviglia,0,0,0,0,0,0,0,0,0,0,0,0,0
376,C,VERDI,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
387,P,REINA,"Aston Villa",0,0,0,0,0,0,0,0,0,0,0,0,0
390,D,GHOULAM,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
392,D,KOULIBALY,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
397,C,ALLAN,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
404,C,JORGINHO,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
406,C,CALLEJON,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
408,A,HIGUAIN,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
409,A,INSIGNE,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
410,A,MERTENS,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
417,D,"EMERSON P.",Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
441,A,BELOTTI,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
449,C,VAZQUEZ,Siviglia,0,0,0,0,0,0,0,0,0,0,0,0,0
453,P,SZCZESNY,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
459,D,MANOLAS,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
460,D,ROMAGNOLI,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
464,D,FLORENZI,Valencia,0,0,0,0,0,0,0,0,0,0,0,0,0
467,C,NAINGGOLAN,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
468,C,PAREDES,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
469,C,PJANIC,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
470,C,STROOTMAN,"Olympique Marsiglia",0,0,0,0,0,0,0,0,0,0,0,0,0
474,A,GERVINHO,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
475,A,"IAGO FALQUE",Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
495,A,CORREA,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
507,A,MURIEL,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
513,D,ACERBI,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
523,D,VRSALJKO,"Atletico Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
530,C,"PELLEGRINI LO.",Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
531,A,BERARDI,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0
536,A,POLITANO,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
543,P,PADELLI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
550,D,MAKSIMOVIC,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
554,D,ZAPPACOSTA,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
568,A,QUAGLIARELLA,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
572,P,MERET,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
590,C,"BRUNO FERNANDES","Manchester United",0,0,0,0,0,0,0,0,0,0,0,0,0
608,A,"ZAPATA D.",Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
610,P,GOLLINI,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
644,C,PULGAR,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
645,C,MILINKOVIC-SAVIC,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
646,A,SALAH,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
647,A,DZEKO,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
652,A,KALINIC,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
656,D,RUDIGER,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
657,D,DIGNE,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
662,D,"ALEX SANDRO",Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
695,D,TOLOI,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
696,A,BALOTELLI,Brescia,0,0,0,0,0,0,0,0,0,0,0,0,0
697,C,CUADRADO,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
704,C,PERISIC,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
706,C,ANSALDI,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
771,A,BOATENG,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
779,C,CRISTANTE,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
785,A,IMMOBILE,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
787,D,DJIMSITI,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
788,C,FREULER,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
798,D,SKRINIAR,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
801,C,GAGLIARDINI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
1847,D,CALDARA,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,C,KESSIE',Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,D,SPINAZZOLA,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,C,BARELLA,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,A,"JOAO PEDRO",Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,P,DRAGOWSKI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,C,OCAMPOS,Siviglia,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,C,BANEGA,Siviglia,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,P,STRAKOSHA,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,P,ALISSON,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,C,TORREIRA,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,A,SCHICK,Lipsia,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,C,SENSI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,C,"DE PAUL",Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,C,CHIESA,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,LIROLA,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,A,MILIK,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,D,FAZIO,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,A,PINAMONTI,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,C,PRAET,"Leicester City",0,0,0,0,0,0,0,0,0,0,0,0,0
2077,C,PASALIC,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,C,"LUIS ALBERTO",Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,A,KEAN,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
2119,A,DEULOFEU,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,D,BASTONI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,D,HATEBOER,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2155,A,CUTRONE,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2160,D,GOSENS,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2164,D,MILENKOVIC,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2166,C,BENTANCUR,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,D,MUSACCHIO,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
2169,D,"RODRIGUEZ R.",Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
2179,P,SIRIGU,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
2181,D,PALOMINO,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2188,C,MARUSIC,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2194,C,CALHANOGLU,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
2197,D,CASTAGNE,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,C,"DOUGLAS COSTA",Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,C,UNDER,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2209,C,"LUCAS LEIVA",Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2214,D,KOLAROV,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2215,C,VERETOUT,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2263,C,LAZZARI,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2284,A,CAICEDO,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2288,D,N'KOULOU,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
2296,D,MANCINI,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,C,MATUIDI,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
2309,D,"PEZZELLA GER.",Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2310,D,CANCELO,"Manchester City",0,0,0,0,0,0,0,0,0,0,0,0,0
2320,D,ANDERSEN,"Olympique Lione",0,0,0,0,0,0,0,0,0,0,0,0,0
2333,A,"PEDRO NETO",Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0
2335,D,"LUIZ FELIPE",Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2349,D,SIDIBE',Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
2350,C,FABINHO,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
2351,C,LEMAR,"Atletico Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
2352,C,TIELEMANS,"Leicester City",0,0,0,0,0,0,0,0,0,0,0,0,0
2356,D,SARR,Nizza,0,0,0,0,0,0,0,0,0,0,0,0,0
2357,C,CYPRIEN,Nizza,0,0,0,0,0,0,0,0,0,0,0,0,0
2360,D,"MARCELO G.","Olympique Lione",0,0,0,0,0,0,0,0,0,0,0,0,0
2361,C,TOUSART,"Olympique Lione",0,0,0,0,0,0,0,0,0,0,0,0,0
2362,A,DEPAY,"Olympique Lione",0,0,0,0,0,0,0,0,0,0,0,0,0
2363,A,"DIAZ M.","Real Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
2367,C,PAYET,"Olympique Marsiglia",0,0,0,0,0,0,0,0,0,0,0,0,0
2368,C,SANSON,"Olympique Marsiglia",0,0,0,0,0,0,0,0,0,0,0,0,0
2369,A,THAUVIN,"Olympique Marsiglia",0,0,0,0,0,0,0,0,0,0,0,0,0
2370,P,AREOLA,"Real Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
2371,P,TRAPP,"Eintracht Francoforte",0,0,0,0,0,0,0,0,0,0,0,0,0
2372,D,KIMPEMBE,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2373,D,KURZAWA,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2374,D,MARQUINHOS,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2375,D,MEUNIER,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2376,D,"THIAGO SILVA","Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2377,C,DRAXLER,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2378,C,PASTORE,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2379,C,RABIOT,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
2380,C,VERRATTI,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2381,A,CAVANI,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2382,A,"DI MARIA","Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2383,A,MBAPPE',"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2384,A,NEYMAR,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2387,P,LAFONT,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0
2388,D,DIOP,"West Ham",0,0,0,0,0,0,0,0,0,0,0,0,0
2393,D,HINTEREGGER,"Eintracht Francoforte",0,0,0,0,0,0,0,0,0,0,0,0,0
2394,A,FINNBOGASON,Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0
2395,P,LENO,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
2396,P,"OZCAN R.","Bayer Leverkusen",0,0,0,0,0,0,0,0,0,0,0,0,0
2397,D,HENRICHS,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0
2398,D,TAH,"Bayer Leverkusen",0,0,0,0,0,0,0,0,0,0,0,0,0
2399,D,WENDELL,"Bayer Leverkusen",0,0,0,0,0,0,0,0,0,0,0,0,0
2400,C,BRANDT,"Borussia Dortmund",0,0,0,0,0,0,0,0,0,0,0,0,0
2402,P,NEUER,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2403,P,ULREICH,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2404,D,ALABA,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2405,D,"BOATENG J.","Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2406,D,HUMMELS,"Borussia Dortmund",0,0,0,0,0,0,0,0,0,0,0,0,0
2407,D,KIMMICH,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2408,D,SULE,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2409,C,RIBERY,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2411,C,"RODRIGUEZ J.","Real Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
2412,C,THIAGO,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2413,C,TOLISSO,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2414,C,VIDAL,Barcellona,0,0,0,0,0,0,0,0,0,0,0,0,0
2415,A,LEWANDOWSKI,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2416,A,MULLER,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2417,D,BARTRA,Betis,0,0,0,0,0,0,0,0,0,0,0,0,0
2418,C,GUERREIRO,"Borussia Dortmund",0,0,0,0,0,0,0,0,0,0,0,0,0
2419,D,SCHMELZER,"Borussia Dortmund",0,0,0,0,0,0,0,0,0,0,0,0,0
2420,D,SOKRATIS,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
2422,A,GOTZE,"Borussia Dortmund",0,0,0,0,0,0,0,0,0,0,0,0,0
2423,C,PULISIC,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
2424,C,WEIGL,"Borussia Dortmund",0,0,0,0,0,0,0,0,0,0,0,0,0
2426,A,AUBAMEYANG,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
2428,P,SOMMER,"Borussia MGladbach",0,0,0,0,0,0,0,0,0,0,0,0,0
2429,D,ELVEDI,"Borussia MGladbach",0,0,0,0,0,0,0,0,0,0,0,0,0
2430,C,"HAZARD T.","Borussia Dortmund",0,0,0,0,0,0,0,0,0,0,0,0,0
2432,C,ZAKARIA,"Borussia MGladbach",0,0,0,0,0,0,0,0,0,0,0,0,0
2438,A,JOVIC,"Real Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
2440,D,WEISER,"Bayer Leverkusen",0,0,0,0,0,0,0,0,0,0,0,0,0
2443,C,ZUBER,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,A,KRAMARIC,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,0,0
2445,D,"DIALLO AB.","Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
2447,D,ORBAN,Lipsia,0,0,0,0,0,0,0,0,0,0,0,0,0
2448,D,UPAMECANO,Lipsia,0,0,0,0,0,0,0,0,0,0,0,0,0
2449,C,FORSBERG,Lipsia,0,0,0,0,0,0,0,0,0,0,0,0,0
2450,C,"KEITA N.",Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
2451,C,SABITZER,Lipsia,0,0,0,0,0,0,0,0,0,0,0,0,0
2452,A,WERNER,Lipsia,0,0,0,0,0,0,0,0,0,0,0,0,0
2455,C,GORETZKA,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
2466,A,ORIGI,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
2468,P,OSPINA,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
2469,D,BELLERIN,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
2470,D,KOSCIELNY,Bordeaux,0,0,0,0,0,0,0,0,0,0,0,0,0
2471,C,OZIL,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
2472,C,RAMSEY,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
2473,C,XHAKA,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
2474,A,LACAZETTE,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
2475,A,SANCHEZ,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
2476,D,AKE',Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0
2477,A,KING,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0
2479,P,CABALLERO,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
2480,P,COURTOIS,"Real Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
2481,D,ALONSO,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
2482,D,AZPILICUETA,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
2484,D,"DAVID LUIZ",Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
2485,C,FABREGAS,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0
2486,A,"HAZARD E.","Real Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
2487,C,KANTE',Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
2488,C,MOSES,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
2489,A,PEDRO,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
2490,D,FOSU-MENSAH,"Manchester United",0,0,0,0,0,0,0,0,0,0,0,0,0
2491,A,BENTEKE,"Crystal Palace",0,0,0,0,0,0,0,0,0,0,0,0,0
2492,D,COLEMAN,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
2493,C,SCHNEIDERLIN,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
2494,C,SIGURDSSON,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0
2497,A,MAHREZ,"Manchester City",0,0,0,0,0,0,0,0,0,0,0,0,0
2498,C,NDIDI,"Leicester City",0,0,0,0,0,0,0,0,0,0,0,0,0
2499,A,VARDY,"Leicester City",0,0,0,0,0,0,0,0,0,0,0,0,0
2500,D,ALEXANDER-ARNOLD,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
2501,D,CLYNE,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
2502,D,"GOMEZ J.",Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
2503,D,MATIP,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
2504,C,"CAN ","Borussia Dortmund",0,0,0,0,0,0,0,0,0,0,0,0,0
2505,C,HENDERSON,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
2506,A,COUTINHO,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
